Week Number,Week,Global Govt Response (Sum)
1,01Jan2020-05Jan2020,16.65
2,06Jan2020-12Jan2020,19.979999999999997
3,13Jan2020-19Jan2020,21.65
4,20Jan2020-26Jan2020,183.37
5,27Jan2020-02Feb2020,435.01
6,03Feb2020-09Feb2020,690.07
7,10Feb2020-16Feb2020,737.2700000000001
8,17Feb2020-23Feb2020,771.1700000000001
9,24Feb2020-01Mar2020,882.9199999999998
10,02Mar2020-08Mar2020,1060.06
11,09Mar2020-15Mar2020,1476.96
12,16Mar2020-22Mar2020,3040.58
13,23Mar2020-29Mar2020,4504.169999999999
14,30Mar2020-05Apr2020,5265.0
15,06Apr2020-12Apr2020,5594.959999999999
16,13Apr2020-19Apr2020,5658.860000000001
17,20Apr2020-26Apr2020,5735.500000000001
18,27Apr2020-03May2020,5822.97
19,04May2020-10May2020,5818.200000000001
20,11May2020-17May2020,5697.950000000001
21,18May2020-24May2020,5668.780000000001
22,25May2020-31May2020,5657.139999999999
23,01Jun2020-07Jun2020,5477.8099999999995
24,08Jun2020-14Jun2020,5247.750000000001
25,15Jun2020-21Jun2020,5136.060000000001
26,22Jun2020-28Jun2020,5031.06
27,29Jun2020-05Jul2020,4804.1900000000005
28,06Jul2020-12Jul2020,4732.29
29,13Jul2020-19Jul2020,4748.370000000001
30,20Jul2020-26Jul2020,4786.4
31,27Jul2020-02Aug2020,4806.15
32,03Aug2020-09Aug2020,4917.16
33,10Aug2020-16Aug2020,5067.19
34,17Aug2020-23Aug2020,5217.210000000001
35,24Aug2020-30Aug2020,5248.300000000001
36,31Aug2020-06Sep2020,5162.15
37,07Sep2020-13Sep2020,5101.049999999999
38,14Sep2020-20Sep2020,5062.76
39,21Sep2020-27Sep2020,4969.169999999999
40,28Sep2020-04Oct2020,4939.199999999999
41,05Oct2020-11Oct2020,4885.07
42,12Oct2020-18Oct2020,4796.23
43,19Oct2020-25Oct2020,4902.32
44,26Oct2020-01Nov2020,4902.299999999999
45,02Nov2020-08Nov2020,4910.009999999999
46,09Nov2020-15Nov2020,4909.4400000000005
47,16Nov2020-22Nov2020,4948.890000000001
48,23Nov2020-29Nov2020,4896.639999999999
49,30Nov2020-06Dec2020,4898.400000000001
50,07Dec2020-13Dec2020,5005.280000000001
51,14Dec2020-20Dec2020,5039.27
52,21Dec2020-27Dec2020,4983.94
53,28Dec2020-03Jan2021,5033.75
54,04Jan2021-10Jan2021,5122.09
55,11Jan2021-17Jan2021,5098.44
56,18Jan2021-24Jan2021,5114.819999999999
57,25Jan2021-31Jan2021,5131.78
58,01Feb2021-07Feb2021,5235.510000000001
59,08Feb2021-14Feb2021,5275.16
60,15Feb2021-21Feb2021,5446.25
