Date,Global Govt Response (Sum)
01Jan2020,53.61
02Jan2020,67.5
03Jan2020,70.83000000000001
04Jan2020,70.83000000000001
05Jan2020,75.83000000000001
06Jan2020,84.16
07Jan2020,85.83
08Jan2020,89.72
09Jan2020,89.72
10Jan2020,91.38
11Jan2020,91.38
12Jan2020,93.61
13Jan2020,98.05000000000001
14Jan2020,105.83000000000001
15Jan2020,119.71
16Jan2020,131.94
17Jan2020,131.94
18Jan2020,135.28
19Jan2020,135.28
20Jan2020,163.91
21Jan2020,207.78
22Jan2020,302.53000000000003
23Jan2020,371.97999999999996
24Jan2020,439.75
25Jan2020,494.7699999999999
26Jan2020,546.9900000000001
27Jan2020,611.44
28Jan2020,661.99
29Jan2020,746.4300000000002
30Jan2020,795.8800000000001
31Jan2020,914.7899999999998
01Feb2020,991.4399999999998
02Feb2020,1022.0199999999998
03Feb2020,1078.13
04Feb2020,1100.3400000000004
05Feb2020,1138.6700000000003
06Feb2020,1162.5600000000004
07Feb2020,1216.4400000000012
08Feb2020,1225.330000000001
09Feb2020,1230.8800000000012
10Feb2020,1240.8800000000015
11Feb2020,1267.5500000000013
12Feb2020,1283.1200000000013
13Feb2020,1298.1200000000013
14Feb2020,1312.560000000001
15Feb2020,1324.220000000001
16Feb2020,1328.6700000000008
17Feb2020,1334.7800000000007
18Feb2020,1341.4400000000005
19Feb2020,1346.9900000000005
20Feb2020,1358.6700000000003
21Feb2020,1408.13
22Feb2020,1425.34
23Feb2020,1476.72
24Feb2020,1515.6300000000006
25Feb2020,1611.1600000000005
26Feb2020,1668.41
27Feb2020,1742.3300000000004
28Feb2020,1818.4200000000005
29Feb2020,1865.9300000000005
01Mar2020,1984.2400000000002
02Mar2020,2040.6300000000003
03Mar2020,2085.63
04Mar2020,2171.149999999999
05Mar2020,2308.3799999999983
06Mar2020,2412.2599999999984
07Mar2020,2477.839999999998
08Mar2020,2566.9799999999977
09Mar2020,2700.8399999999974
10Mar2020,2944.7899999999977
11Mar2020,3185.049999999999
12Mar2020,3563.37
13Mar2020,4094.4899999999984
14Mar2020,4402.55
15Mar2020,4753.390000000003
16Mar2020,5660.610000000003
17Mar2020,6128.140000000003
18Mar2020,6715.890000000004
19Mar2020,7221.970000000005
20Mar2020,7637.230000000008
21Mar2020,7973.900000000008
22Mar2020,8229.450000000006
23Mar2020,8635.810000000005
24Mar2020,8942.409999999998
25Mar2020,9203.289999999999
26Mar2020,9454.429999999998
27Mar2020,9717.779999999997
28Mar2020,9895.589999999998
29Mar2020,10026.159999999996
30Mar2020,10292.81
31Mar2020,10440.569999999998
01Apr2020,10699.14
02Apr2020,10744.130000000001
03Apr2020,10831.070000000002
04Apr2020,10919.66
05Apr2020,10960.230000000001
06Apr2020,11041.070000000002
07Apr2020,11109.42
08Apr2020,11223.869999999999
09Apr2020,11326.110000000002
10Apr2020,11397.230000000003
11Apr2020,11425.540000000006
12Apr2020,11426.640000000007
13Apr2020,11479.990000000007
14Apr2020,11477.730000000003
15Apr2020,11506.640000000003
16Apr2020,11554.150000000003
17Apr2020,11579.410000000003
18Apr2020,11611.640000000005
19Apr2020,11609.970000000005
20Apr2020,11580.550000000007
21Apr2020,11593.350000000006
22Apr2020,11599.720000000005
23Apr2020,11597.480000000005
24Apr2020,11619.430000000006
25Apr2020,11619.690000000006
26Apr2020,11625.800000000007
27Apr2020,11613.300000000005
28Apr2020,11644.700000000004
29Apr2020,11651.910000000005
30Apr2020,11661.360000000004
01May2020,11691.400000000001
02May2020,11683.610000000002
03May2020,11671.670000000006
04May2020,11562.770000000004
05May2020,11563.890000000005
06May2020,11526.680000000006
07May2020,11545.010000000006
08May2020,11501.670000000007
09May2020,11516.100000000006
10May2020,11537.770000000004
11May2020,11470.560000000005
12May2020,11464.700000000006
13May2020,11454.690000000006
14May2020,11390.510000000006
15May2020,11372.440000000006
16May2020,11358.000000000005
17May2020,11343.280000000006
18May2020,11255.260000000004
19May2020,11267.490000000005
20May2020,11266.100000000006
21May2020,11263.310000000007
22May2020,11248.320000000007
23May2020,11231.110000000006
24May2020,11233.320000000005
25May2020,11188.320000000005
26May2020,11170.270000000002
27May2020,11156.370000000003
28May2020,11146.930000000002
29May2020,11131.670000000002
30May2020,11117.230000000001
31May2020,11086.390000000001
01Jun2020,10913.91
02Jun2020,10858.61
03Jun2020,10854.72
04Jun2020,10847.239999999998
05Jun2020,10794.47
06Jun2020,10758.939999999999
07Jun2020,10743.649999999998
08Jun2020,10638.089999999995
09Jun2020,10616.699999999997
10Jun2020,10602.809999999998
11Jun2020,10590.019999999997
12Jun2020,10570.289999999997
13Jun2020,10580.869999999997
14Jun2020,10576.989999999998
15Jun2020,10499.25
16Jun2020,10466.430000000002
17Jun2020,10453.080000000002
18Jun2020,10450.030000000002
19Jun2020,10425.040000000003
20Jun2020,10426.150000000001
21Jun2020,10407.820000000003
22Jun2020,10371.980000000003
23Jun2020,10351.420000000002
24Jun2020,10337.540000000003
25Jun2020,10341.420000000002
26Jun2020,10308.91
27Jun2020,10268.640000000001
28Jun2020,10270.31
29Jun2020,10259.49
30Jun2020,10238.66
01Jul2020,10111.71
02Jul2020,10122.82
03Jul2020,10110.58
04Jul2020,10111.98
05Jul2020,10110.590000000002
06Jul2020,10095.87
07Jul2020,10065.32
08Jul2020,10062.51
09Jul2020,10067.769999999999
10Jul2020,10043.879999999997
11Jul2020,10050.829999999996
12Jul2020,10049.719999999996
13Jul2020,10024.719999999998
14Jul2020,10023.609999999997
15Jul2020,10042.809999999998
16Jul2020,10052.529999999999
17Jul2020,10023.129999999997
18Jul2020,10013.129999999997
19Jul2020,10025.909999999998
20Jul2020,9993.949999999999
21Jul2020,9961.18
22Jul2020,9917.289999999999
23Jul2020,9908.389999999998
24Jul2020,9920.329999999996
25Jul2020,9928.389999999998
26Jul2020,9920.06
27Jul2020,9890.309999999996
28Jul2020,9907.829999999998
29Jul2020,9910.589999999998
30Jul2020,9935.859999999999
31Jul2020,9960.849999999999
01Aug2020,9946.68
02Aug2020,9945.56
03Aug2020,9964.14
04Aug2020,9980.25
05Aug2020,9993.029999999999
06Aug2020,10038.29
07Aug2020,10071.640000000001
08Aug2020,10089.710000000001
09Aug2020,10094.71
10Aug2020,10075.27
11Aug2020,10074.700000000004
12Aug2020,10093.860000000004
