Week Number,Week,Global Govt Response (Sum)
1,01Jan2020-05Jan2020,338.6
2,06Jan2020-12Jan2020,532.19
3,13Jan2020-19Jan2020,722.75
4,20Jan2020-26Jan2020,1980.72
5,27Jan2020-02Feb2020,4721.97
6,03Feb2020-09Feb2020,6921.470000000003
7,10Feb2020-16Feb2020,7726.450000000008
8,17Feb2020-23Feb2020,8215.350000000002
9,24Feb2020-01Mar2020,10221.880000000001
10,02Mar2020-08Mar2020,13495.889999999994
11,09Mar2020-15Mar2020,20891.089999999993
12,16Mar2020-22Mar2020,41337.740000000034
13,23Mar2020-29Mar2020,55849.31
14,30Mar2020-05Apr2020,63927.37999999999
15,06Apr2020-12Apr2020,67523.24
16,13Apr2020-19Apr2020,69209.56000000003
17,20Apr2020-26Apr2020,69610.22000000003
18,27Apr2020-03May2020,69946.28000000003
19,04May2020-10May2020,69216.12000000002
20,11May2020-17May2020,68510.90000000002
21,18May2020-24May2020,67531.59000000003
22,25May2020-31May2020,66910.79000000001
23,01Jun2020-07Jun2020,65027.89
24,08Jun2020-14Jun2020,63598.779999999984
25,15Jun2020-21Jun2020,62719.98000000001
26,22Jun2020-28Jun2020,61979.91000000002
27,29Jun2020-05Jul2020,60955.240000000005
28,06Jul2020-12Jul2020,60386.17999999999
29,13Jul2020-19Jul2020,60179.929999999986
30,20Jul2020-26Jul2020,59629.52999999999
31,27Jul2020-02Aug2020,59552.11999999999
32,03Aug2020-09Aug2020,60137.06
33,10Aug2020-16Aug2020,60562.17000000002
34,17Aug2020-23Aug2020,60674.18000000001
35,24Aug2020-30Aug2020,60598.12000000001
36,31Aug2020-06Sep2020,59675.46000000003
37,07Sep2020-13Sep2020,59220.85000000002
38,14Sep2020-20Sep2020,59016.21000000003
39,21Sep2020-27Sep2020,58525.87000000002
40,28Sep2020-04Oct2020,58062.56000000001
41,05Oct2020-11Oct2020,57457.49999999999
42,12Oct2020-18Oct2020,56838.819999999985
43,19Oct2020-25Oct2020,56832.519999999975
44,26Oct2020-01Nov2020,56859.380000000005
45,02Nov2020-08Nov2020,56993.700000000004
46,09Nov2020-15Nov2020,57452.370000000024
47,16Nov2020-22Nov2020,58099.610000000015
48,23Nov2020-29Nov2020,58219.73000000002
49,30Nov2020-06Dec2020,58434.06000000002
50,07Dec2020-13Dec2020,58539.13000000001
51,14Dec2020-20Dec2020,58819.61000000002
52,21Dec2020-27Dec2020,59607.110000000015
53,28Dec2020-03Jan2021,60175.099999999984
54,04Jan2021-10Jan2021,60703.709999999985
55,11Jan2021-17Jan2021,60961.57
56,18Jan2021-24Jan2021,61192.99
57,25Jan2021-31Jan2021,61100.79999999999
58,01Feb2021-07Feb2021,60695.619999999995
59,08Feb2021-14Feb2021,60527.070000000014
60,15Feb2021-21Feb2021,60474.100000000006
